40,Tools section title,Tools,\N,homepage,\N,2014-11-28 14:19:33.571299,2014-12-01 07:21:17.474642,text,2014-12-01
19,Tools,Tools,\N,general,\N,2014-11-20 11:54:57.88126,2014-11-28 10:02:00.856101,text,2014-11-28
13,This area is password protected,This area is password protected,\N,homepage,\N,2014-11-19 13:42:58.441999,2014-11-19 13:42:58.451712,text,2014-11-19
20,Information to support decision makers,Information to support decision makers,\N,general,\N,2014-11-20 11:54:57.899241,2014-11-28 10:02:00.869426,text,2014-11-28
26,Forgot your username or password?,Forgot your username or password?,\N,password,\N,2014-11-21 09:57:25.24717,2014-12-01 07:22:09.951224,text,2014-12-01
15,Partners,Partners,Members,footer,\N,2014-11-20 11:50:49.770511,2014-11-28 09:13:08.432041,text,2014-11-28
16,Categories,Categories,\N,categories,\N,2014-11-20 11:52:49.537423,2014-11-28 10:37:09.06714,text,2014-11-28
6,Read More,Read More,\N,homepage,\N,2014-11-12 14:58:05.69561,2014-11-28 09:14:52.514718,text,2014-11-28
42,Resources section title,Resources,\N,homepage,\N,2014-11-28 14:19:33.935645,2014-12-01 07:21:17.657665,text,2014-12-01
9,Supporting businesses make better informed decisions - to the benefit of the wider conservation community,Supporting businesses make better informed decisions - to the benefit of the wider conservation community,Supporting businesses make better informed decisions - to the benefit of the wider conservation community,homepage,\N,2014-11-18 18:14:55.438693,2014-11-28 09:14:52.341941,text,2014-11-28
7,Join Proteus,Join Proteus,\N,homepage,\N,2014-11-12 14:58:05.725266,2014-11-28 09:14:52.528916,text,2014-11-28
22,From the country factsheets to meeting notes,From the country factsheets to meeting notes,\N,general,\N,2014-11-20 11:54:57.939517,2014-11-28 10:02:00.901776,text,2014-11-28
39,Search bar title,Search,\N,categories,\N,2014-11-28 14:19:33.507678,2014-11-29 20:02:33.341863,text,2014-11-29
1,Tools,Tools,\N,homepage,\N,2014-11-12 14:58:05.145705,2014-11-28 09:14:52.358691,text,2014-11-28
14,If you're from any of these companies & want to know more\, please contact us for more information,If you're from any of these companies & want to know more\, please contact us for more information,If you're from any of these companies and want to know more\, please contact us for more information,footer,\N,2014-11-20 11:50:49.748488,2014-11-26 10:25:53.748527,text,2014-11-26
17,Search,Search,Search all resources,categories,\N,2014-11-20 11:52:49.563618,2014-11-28 10:37:09.088523,text,2014-11-28
8,Download the full dataset,Download the full dataset,How to download the data,tools,\N,2014-11-18 13:35:56.958423,2014-11-28 09:15:24.194355,text,2014-11-28
18,Download,Download,\N,categories,\N,2014-11-20 11:52:49.599096,2014-11-28 10:37:09.10789,text,2014-11-28
34,Homepage join content,Lorem ipsum dolor sit amet\, consectetur adipiscing elit. Nunc laoreet nec tellus et dictum. Integer quis sem in arcu posuere fringilla. Donec vel tellus vitae quam volutpat pretium at pharetra elit.,Since 2003\, UNEP-WCMC has been providing companies with the information they need on biodiversity and ecosystem services. Learn how your company can join us.,homepage,\N,2014-11-25 17:35:07.292333,2014-11-28 09:29:46.432117,text,2014-11-28
41,Download button text,Download,\N,categories,\N,2014-11-28 14:19:33.634126,2014-11-29 20:02:37.60522,text,2014-11-29
32,Proteus Partners,Proteus Partners,\N,head,\N,2014-11-25 17:34:54.512543,2014-11-28 09:13:08.264309,text,2014-11-28
2,Resources,Resources,Resources,homepage,\N,2014-11-12 14:58:05.33106,2014-11-28 09:14:52.383815,text,2014-11-28
43,Resources section button text,See all resources,\N,homepage,\N,2014-11-28 14:19:34.030916,2014-12-01 07:21:17.708247,text,2014-12-01
30,Search for,Search for,\N,search,\N,2014-11-21 10:29:58.785242,2014-11-26 15:18:13.094742,text,2014-11-26
31,results found,results found,\N,search,\N,2014-11-21 10:29:58.824565,2014-11-26 15:18:13.124003,text,2014-11-26
29,Download,Download,\N,resources,\N,2014-11-21 10:29:44.084853,2014-11-28 10:41:47.844938,text,2014-11-28
44,Latest updates sidebar title,Latest Resources Updates,\N,homepage,\N,2014-11-28 14:19:34.059299,2014-12-01 07:21:17.723269,text,2014-12-01
4,See all resources,See all resources,\N,homepage,\N,2014-11-12 14:58:05.630278,2014-11-28 09:14:52.401099,text,2014-11-28
23,Browse Resources,Browse Resources,\N,general,\N,2014-11-20 11:54:57.959552,2014-11-28 10:02:00.918778,text,2014-11-28
33,Homepage about content,Lorem ipsum dolor sit amet\, consectetur adipiscing elit. Nunc laoreet nec tellus et dictum. Integer quis sem in arcu posuere fringilla. Donec vel tellus vitae quam volutpat pretium at pharetra elit.,Proteus is a forum of leading extractives companies who collaborate with UNEP's specialist biodiversity assessment arm: UNEP-World Conservation Monitoring Centre.,homepage,\N,2014-11-25 17:35:07.258411,2014-11-28 10:14:06.912674,text,2014-11-28
25,This area is password protected,This area is password protected,\N,password,\N,2014-11-21 09:57:25.225784,2014-12-01 07:22:09.930489,text,2014-12-01
27,Proteus Resources,Proteus Resources,\N,resources,\N,2014-11-21 10:29:43.718234,2014-11-28 11:45:26.727459,text,2014-11-28
28,Search all resources,Search all resources,\N,categories,\N,2014-11-21 10:29:43.785762,2014-11-28 11:45:26.761066,text,2014-11-28
3,Latest Resources Updates,Latest Resources Updates,Latest Resource Updates,homepage,\N,2014-11-12 14:58:05.585999,2014-11-28 09:14:52.412801,text,2014-11-28
10,See in resource section,See in resource section,\N,homepage,\N,2014-11-18 18:14:55.53183,2014-11-28 09:14:52.433481,text,2014-11-28
5,About Proteus,About Proteus,\N,homepage,\N,2014-11-12 14:58:05.665409,2014-11-28 09:14:52.479176,text,2014-11-28
21,Resources,Resources,\N,general,\N,2014-11-20 11:54:57.922738,2014-11-29 20:03:06.359709,text,2014-11-29
45,Latest updates sidebar link text,See in resource section,\N,homepage,\N,2014-11-28 14:19:34.170234,2014-12-01 07:21:17.778618,text,2014-12-01
47,About proteus section title,About Proteus,\N,homepage,\N,2014-11-28 14:19:34.315607,2014-12-01 07:21:17.872611,text,2014-12-01
48,About proteus section content,Lorem ipsum dolor sit amet\, consectetur adipiscing elit. Nunc laoreet nec tellus et dictum. Integer quis sem in arcu posuere fringilla. Donec vel tellus vitae quam volutpat pretium at pharetra elit.,\N,homepage,\N,2014-11-28 14:19:34.341996,2014-12-01 07:21:17.890638,text,2014-12-01
49,About proteus button text,Read More,\N,homepage,\N,2014-11-28 14:19:34.373801,2014-12-01 07:21:17.907531,text,2014-12-01
37,Categories sidebar title,Categories,\N,categories,\N,2014-11-28 14:19:33.194688,2014-11-29 20:02:33.308682,text,2014-11-29
50,Join proteus section title,Join Proteus,\N,homepage,\N,2014-11-28 14:19:34.405952,2014-12-01 07:21:17.92526,text,2014-12-01
36,Footer banner text,If you're from any of these companies & want to know more\, please contact us for more information,\N,footer,\N,2014-11-26 13:08:55.891727,2014-12-01 07:21:18.207812,text,2014-12-01
46,Partners title,Partners,\N,footer,\N,2014-11-28 14:19:34.265371,2014-12-01 07:21:18.222748,text,2014-12-01
24,Back,Back,\N,password,\N,2014-11-21 09:57:25.206959,2014-12-01 07:22:09.915408,text,2014-12-01
58,Resources title,Proteus Resources,\N,resources,\N,2014-11-28 14:58:08.404529,2014-11-28 14:58:09.238424,text,2014-11-28
59,Download dataset title,Download the full dataset,\N,tools,\N,2014-11-28 15:01:15.501074,2014-11-29 19:58:45.960925,text,2014-11-29
53,Download button text,Download,\N,resources,\N,2014-11-28 14:19:57.853689,2014-11-29 20:02:33.388243,text,2014-11-29
54,Tools sidebar title,Tools,\N,general,\N,2014-11-28 14:33:15.245681,2014-11-29 20:03:06.228331,text,2014-11-29
55,Sidebar text,Information to support decision makers,\N,general,\N,2014-11-28 14:33:15.597078,2014-11-29 20:03:06.241718,text,2014-11-29
56,Browse resources sidebar text,From the country factsheets to meeting notes,\N,general,\N,2014-11-28 14:33:15.901303,2014-11-29 20:03:06.37361,text,2014-11-29
57,Browse resources button text,Browse Resources,\N,general,\N,2014-11-28 14:33:16.126473,2014-11-29 20:03:06.386565,text,2014-11-29
38,Home banner text,Supporting businesses make better informed decisions - to the benefit of the wider conservation community,\N,homepage,\N,2014-11-28 14:19:33.409409,2014-12-01 07:21:17.440255,text,2014-12-01
51,Join proteus section content,Lorem ipsum dolor sit amet\, consectetur adipiscing elit. Nunc laoreet nec tellus et dictum. Integer quis sem in arcu posuere fringilla. Donec vel tellus vitae quam volutpat pretium at pharetra elit.,\N,homepage,\N,2014-11-28 14:19:34.438172,2014-12-01 07:21:17.943449,text,2014-12-01
52,Join proteus button text,Read More,\N,homepage,\N,2014-11-28 14:19:34.473938,2014-12-01 07:21:17.956425,text,2014-12-01
60,Site title,Proteus Partners,\N,head,\N,2014-11-28 17:27:37.08744,2014-12-01 07:21:17.972263,text,2014-12-01
61,Site description,Supporting businesses make better informed decisions - to the benefit of the wider conservation community,\N,head,\N,2014-11-28 17:27:37.134583,2014-12-01 07:21:17.987267,text,2014-12-01
35,Password description,This content is password protected and is available to Proteus Partners. Please login. If you do not have a password\, please contact the Proteus focal point in your company for access\, or alternatively contact the Business and Biodiversity team at UNEP-WCMC. If your company is not a member of the Partnership you can see more information on how to,\N,password,\N,2014-11-25 17:38:09.09483,2014-12-01 07:22:09.969914,text,2014-12-01
